Model,CV_F1_Mean,CV_F1_Std,Test_F1,Test_AUC
Logistic Regression,0.7301254690112915,0.006415953999495791,0.8284686125549781,0.753944581334025
Random Forest,0.9462469476302239,0.0025451967372735027,0.9343629343629344,0.7660286891741956
SVM,0.8560193995394367,0.00774352440600538,0.8821999256781865,0.7037385264917362
XGBoost,0.953985543687625,0.0036671006782338354,0.9472595656670114,0.7734567500972637
LightGBM,0.9520189345067329,0.003158211983141771,0.9463853337945347,0.7841287338434272
